city,year,urban_cells,valid_UHI_cells,mean_LST,mean_reference_LST,mean_UHI,median_UHI,max_UHI,high_UHI_fraction
Mumbai,2024,1200,77,41.039272,31.718547821044922,9.56297663899211,9.365375518798828,13.986537933349602,0.06416666666666666
Mumbai,2025,1200,77,41.700558,35.17074966430664,5.68796108295391,5.920009613037102,10.69498443603515,0.06
Mumbai,2026,1200,77,42.677303,34.955413818359375,7.449462940166525,7.596549987792969,13.249954223632805,0.06416666666666666
Nagpur,2022,941,133,42.228886,47.08596420288086,-3.3760382573407397,-3.347949981689446,1.5586204528808452,0.0
Nagpur,2023,941,133,40.660187,43.96702194213867,-2.7776160562845105,-3.231739044189453,4.214420318603516,0.005313496280552604
Nagpur,2024,941,133,40.343025,46.33058166503906,-4.648698161419173,-4.94587326049804,1.0083160400390554,0.0
Nagpur,2025,941,133,43.577156,50.55696487426758,-5.584183169486828,-5.856777191162102,0.37427520751951704,0.0
Nagpur,2026,941,133,45.494156,51.93101119995117,-4.770041358202024,-5.0672149658203125,3.2146453857422017,0.0010626992561105207
Pune,2022,1664,90,45.379574,46.0366325378418,0.5777604420979817,0.9365386962890696,4.532295227050781,0.016826923076923076
Pune,2023,1664,90,45.68704,45.9819450378418,1.2400583055284295,1.1433296203613317,6.234470367431626,0.017427884615384616
Pune,2024,1664,90,44.83742,44.79589080810547,0.2800137413872619,0.10425186157226918,6.217380523681641,0.01141826923076923
Pune,2025,1664,90,44.536118,43.91404342651367,2.101626459757487,1.9209270477294922,6.6343765258789205,0.026442307692307692
Pune,2026,1664,90,41.817955,43.80125045776367,-0.949185901217991,-1.1006050109863281,4.651924133300774,0.003605769230769231
Raipur,2022,737,67,43.345013,40.39519119262695,3.2324526203212467,3.6624107360839844,7.726436614990234,0.06648575305291723
Raipur,2023,737,67,41.55991,39.88419723510742,1.6449098729375586,2.023468017578125,5.738857269287109,0.04613297150610583
Raipur,2024,737,67,41.292446,36.14659118652344,5.0879797294958315,5.123615264892585,9.80117416381836,0.07869742198100407
Raipur,2025,737,67,41.88889,37.6829948425293,3.951458774395843,4.250305175781243,8.396366119384766,0.0773405698778833
Raipur,2026,737,67,45.18064,41.282169342041016,4.111034905732566,4.25885009765625,9.570453643798821,0.07055630936227951
