system:index,LST,NDBI,NDVI,NDWI,QA_PIXEL,QA_RADSAT,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_ATRAN,ST_B10,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,.geo,longitude,latitude
191,57.968941640000025,0.0585400649916778,0.0865715331137943,-0.1284604130645437,21824.0,0.0,9112.5,9789.5,11467.5,12482.0,14848.0,16694.5,14796.0,224.0,6352.5,53282.0,14021.0,1471.0,9690.5,66.0,230.0,12110.5,3073.5,"{""type"":""Point"",""coordinates"":[81.66499325192102,21.141230220748938]}",81.66499325192102,21.141230220748938
1397,57.94159748000004,0.0934154525514576,0.1030363012972323,-0.1501971914046662,21824.0,0.0,9496.5,10097.0,11528.0,12688.0,15603.0,18818.5,16918.5,160.0,6359.5,53274.0,13959.0,1466.0,9704.5,95.0,236.0,12119.5,3063.5,"{""type"":""Point"",""coordinates"":[81.70143101670273,21.138619263385433]}",81.70143101670273,21.138619263385433
1395,57.94159748000004,0.0740999462654486,0.1271300081766148,-0.1775036730788943,21824.0,0.0,9857.0,10528.0,12036.0,13344.0,17231.0,19989.0,17237.0,160.0,6367.0,53274.0,10699.0,1465.0,9615.0,116.0,241.0,12053.0,3061.0,"{""type"":""Point"",""coordinates"":[81.6841651691492,21.214866514133718]}",81.6841651691492,21.214866514133718
799,57.92450738000002,0.0672968192757111,0.101568385727005,-0.1518808300359873,21824.0,0.0,9474.5,10219.5,11842.5,13118.0,16084.0,18405.0,16275.0,192.0,6355.5,53269.0,14014.5,1468.5,9718.0,68.0,231.0,12128.0,3068.5,"{""type"":""Point"",""coordinates"":[81.67117144293975,21.123115125357884]}",81.67117144293975,21.123115125357884
470,57.92279837000001,0.0397186781479644,0.095021849027504,-0.1275011469103998,21824.0,0.0,10034.5,10796.5,12362.0,13202.5,15975.0,17296.5,15261.0,224.0,6357.5,53268.5,14113.0,1469.0,9667.5,66.0,230.0,12088.0,3069.0,"{""type"":""Point"",""coordinates"":[81.62063871870497,21.133074354362122]}",81.62063871870497,21.133074354362122
2473,57.91767134000003,0.0443779536366432,0.1340113819249722,-0.1744247985291338,21824.0,0.0,9447.5,10319.0,12011.5,13048.5,17087.0,18674.0,15663.5,209.0,6355.0,53267.0,14045.5,1469.5,9468.5,592.0,511.0,11920.0,3070.5,"{""type"":""Point"",""coordinates"":[81.65318793346633,21.133276779198937]}",81.65318793346633,21.133276779198937
2418,57.91083530000003,0.0465537541889321,0.1104235157609746,-0.150785264001749,21824.0,0.0,9421.0,10076.5,11652.5,12650.0,15790.5,17332.5,15111.0,177.0,6355.0,53265.0,14120.0,1470.0,9665.0,111.0,240.0,12084.5,3071.5,"{""type"":""Point"",""coordinates"":[81.61783919717855,21.128402746682973]}",81.61783919717855,21.128402746682973
1684,57.82025777000001,0.0773641522326866,0.0856873164592364,-0.1340770902185622,21824.0,0.0,9536.5,10233.0,11856.0,13076.5,15527.5,18131.5,16255.5,224.0,6362.5,53238.5,13995.5,1466.0,9669.0,70.0,231.0,12080.5,3063.0,"{""type"":""Point"",""coordinates"":[81.67603108003972,21.170606701461306]}",81.67603108003972,21.170606701461306
983,57.79974965000002,0.0762423799758406,0.0939303714299971,-0.1501573976915005,21824.0,0.0,9552.5,10278.0,12148.5,13618.0,16441.5,19155.5,16874.5,145.0,6358.0,53232.5,13954.5,1467.0,9672.0,148.0,251.0,12076.0,3065.5,"{""type"":""Point"",""coordinates"":[81.70396307108719,21.142778007819874]}",81.70396307108719,21.142778007819874
2008,57.78607757000003,0.0868790181180596,0.1058340558809477,-0.1526217746546413,21824.0,0.0,9504.0,10111.5,11486.0,12633.0,15623.5,18596.5,16263.0,224.0,6367.5,53228.5,13986.0,1464.5,9678.0,68.0,230.0,12086.5,3059.0,"{""type"":""Point"",""coordinates"":[81.67880652278001,21.193243642821628]}",81.67880652278001,21.193243642821628
64,57.75702439999998,0.0586010692245543,0.0865441847545732,-0.1169260263914666,21824.0,0.0,8720.0,9386.0,10824.5,11510.0,13691.0,15395.5,13388.0,209.0,6364.5,53220.0,13979.5,1465.5,9672.5,74.0,231.0,12077.5,3061.5,"{""type"":""Point"",""coordinates"":[81.68333276220572,21.185855270263307]}",81.68333276220572,21.185855270263307
1311,57.69208202000004,0.0631310555838857,0.1188988846160538,-0.1616504678975322,21824.0,0.0,9589.5,10239.5,11601.5,12659.0,16075.5,18242.0,15588.5,177.0,6355.5,53201.0,14067.5,1469.5,9670.0,130.0,245.0,12064.0,3070.5,"{""type"":""Point"",""coordinates"":[81.6414376477511,21.140876537378926]}",81.6414376477511,21.140876537378926
2457,57.63397568000005,0.0375379135709714,0.1331411348447123,-0.1842569291082464,21824.0,0.0,9159.0,10117.5,11912.5,13230.0,17294.0,18643.0,15258.5,224.0,6353.5,53184.0,14042.0,1470.0,9680.0,58.0,229.0,12064.0,3071.0,"{""type"":""Point"",""coordinates"":[81.65651734471095,21.120561775268758]}",81.65651734471095,21.120561775268758
913,57.62713964,0.0806526211703162,0.0827197595792637,-0.1246951397966948,21824.0,0.0,9097.0,9706.5,11215.5,12209.0,14411.0,16939.5,15215.5,224.0,6359.5,53182.0,13942.0,1466.0,9735.5,89.0,234.0,12110.5,3063.5,"{""type"":""Point"",""coordinates"":[81.711664643646,21.147279763377952]}",81.711664643646,21.147279763377952
