system:index,LST,NDBI,NDVI,NDWI,QA_PIXEL,QA_RADSAT,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_ATRAN,ST_B10,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,.geo
679,42.98434196000005,-0.014542008431097023,0.20792156252431718,-0.19343430460521258,21824.0,0.0,8534.0,8931.0,10491.0,10179.0,15523.0,15078.0,12185.0,224.0,6005.0,48898.0,198.0,1568.0,9686.0,140.0,326.0,10305.0,3319.0,"{""type"":""Point"",""coordinates"":[81.57681335226091,21.350223895798678]}"
680,45.0932603,0.026110045729458624,0.18370566930827983,-0.19342010122921185,21824.0,0.0,8850.0,9446.0,11155.0,11382.0,16505.0,17390.0,14218.0,224.0,6007.0,49515.0,219.0,1566.0,9689.0,64.0,261.0,10456.0,3315.0,"{""type"":""Point"",""coordinates"":[81.5550131111544,21.350283425681667]}"
681,49.14532301000003,0.07104651162790698,0.1306255307104444,-0.16870862743663825,21824.0,0.0,9237.0,9862.5,11365.0,12286.0,15978.0,18422.0,15751.5,224.0,5980.0,50700.5,164.0,1574.0,9571.5,107.0,350.0,10565.5,3333.0,"{""type"":""Point"",""coordinates"":[81.57585386841333,21.16640102806744]}"
682,48.45488297000003,0.027759055784573425,0.1473705628826696,-0.17128991445890063,21824.0,0.0,9207.5,9686.0,10971.5,11523.5,15507.0,16392.5,13758.0,224.0,6182.5,50498.5,714.5,1517.5,9629.5,84.0,242.0,10611.0,3192.0,"{""type"":""Point"",""coordinates"":[81.51416468669368,21.260503661822955]}"
683,51.778907419999996,0.12241557024192082,0.08144052600119546,-0.13530472978272806,21824.0,0.0,9438.0,9854.0,11024.0,12294.0,14474.0,18512.0,15922.0,194.0,5986.0,51471.0,381.0,1570.0,9681.0,61.0,264.0,10896.0,3326.0,"{""type"":""Point"",""coordinates"":[81.53888878928657,21.18128017686918]}"
684,43.519262089999984,-0.015021388069105017,0.18069082563499259,-0.18579065623305183,21824.0,0.0,8730.0,9110.0,10509.0,10620.5,15305.0,14852.0,12516.0,224.0,6178.0,49054.5,717.0,1520.0,9758.0,62.0,235.0,10353.5,3197.5,"{""type"":""Point"",""coordinates"":[81.503913996357,21.268989480066548]}"
685,47.83793036000003,0.02909182152292955,0.1549063328475868,-0.1783462310117512,21824.0,0.0,9282.0,9931.5,11467.0,12033.5,16445.0,17430.5,14623.0,224.0,5893.0,50318.0,5546.0,1597.0,9713.5,85.0,301.0,10829.5,3396.0,"{""type"":""Point"",""coordinates"":[81.63559634957137,21.193094192368676]}"
686,58.99776566000003,0.0621778256691033,0.11171718566595319,-0.15402809633027523,21824.0,0.0,9495.0,10247.0,11803.0,12865.0,16101.0,18236.0,15727.0,224.0,6360.0,53583.0,11132.0,1469.0,9668.0,113.0,241.0,12214.0,3069.0,"{""type"":""Point"",""coordinates"":[81.58899706900077,21.184133244956424]}"
687,47.76956996000001,0.03981231538929011,0.1065507019772631,-0.15127175368139223,21824.0,0.0,9911.0,10731.5,12521.5,13714.0,16985.0,18393.5,16333.5,224.0,6195.0,50298.0,5053.5,1513.0,9674.0,83.0,347.0,10944.5,3182.0,"{""type"":""Point"",""coordinates"":[81.71324786258153,21.27020829733349]}"
688,47.64652124000003,0.06641140940593325,0.11195955739385584,-0.1504754937820044,21824.0,0.0,9153.5,9816.5,11613.0,12560.0,15727.0,17964.5,15133.5,224.0,5894.5,50262.0,5281.5,1596.0,9719.0,44.0,314.0,10817.5,3394.0,"{""type"":""Point"",""coordinates"":[81.69448446427,21.23121033019344]}"
689,46.41774305000001,0.028239704904154322,0.09327165113273012,-0.13037667499032815,21824.0,0.0,9741.0,10693.0,12363.0,13328.0,16070.0,17004.0,15387.5,224.0,6192.0,49902.5,5048.0,1515.0,9716.0,68.0,316.5,10837.5,3185.0,"{""type"":""Point"",""coordinates"":[81.70493839456897,21.272787247032074]}"
690,49.921213550000004,0.0676856829167439,0.11835938836246708,-0.15580145655094393,21824.0,0.0,9701.0,10314.0,11939.5,12886.5,16346.5,18720.0,16477.5,177.0,6207.0,50927.5,4976.5,1509.5,9701.0,44.0,242.0,11189.5,3173.0,"{""type"":""Point"",""coordinates"":[81.726600596795,21.316051313242742]}"
691,50.681723000000034,0.05546889623759905,0.10921414178420956,-0.13825967629753558,21824.0,0.0,9354.5,9991.5,11460.5,12157.0,15138.0,16916.0,14660.5,224.0,6194.5,51150.0,5294.0,1511.5,9531.0,752.0,665.5,11136.5,3179.0,"{""type"":""Point"",""coordinates"":[81.74746594594373,21.226180525133504]}"
692,51.662694740000006,0.04932864450127877,0.11610711805881359,-0.14950037689170645,21824.0,0.0,9349.0,9871.0,11001.0,11775.0,14868.5,16411.5,14580.0,224.0,6176.5,51437.0,772.0,1521.5,9600.0,205.0,282.0,10883.0,3200.5,"{""type"":""Point"",""coordinates"":[81.53085617985043,21.280574296627613]}"
